DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J612,264751,UT,B,50.7977,-129.7250,,,,06:07:55 28-Jun-2024,3,06:15:39 28-Jun-2024,51,256,264,1254,9,,,,,,
J612,264751,UT,B,50.7977,-129.7250,,,,06:07:55 28-Jun-2024,4,06:16:30 28-Jun-2024,210,264,0,3287,2,-29,,,,,
J612,264751,UT,B,50.8922,-129.9156,,,,13:01:58 28-Jun-2024,,,1198,,,,,,205,76,12.80,6.60,116
J612,264751,UT,B,50.8922,-129.9156,,,,13:01:58 28-Jun-2024,0,13:01:58 28-Jun-2024,321,0,480,2505,8,74,,,,,
J612,264751,UT,B,50.8922,-129.9156,,,,13:01:58 28-Jun-2024,1,13:07:19 28-Jun-2024,144,480,560,2728,15,,,,,,
J612,264751,UT,B,50.8922,-129.9156,,,,13:01:58 28-Jun-2024,2,13:09:43 28-Jun-2024,93,560,488,1476,1,,,,,,
J612,264751,UT,B,50.8922,-129.9156,,,,13:01:58 28-Jun-2024,3,13:11:16 28-Jun-2024,194,488,488,4115,28,,,,,,
J612,264751,UT,B,50.8922,-129.9156,,,,13:01:58 28-Jun-2024,4,13:14:30 28-Jun-2024,330,488,0,5680,1,-54,,,,,
J612,264751,UT,B,51.0247,-130.3351,,,,03:45:35 29-Jun-2024,,,1079,,,,,,198,56,12.60,6.60,94
J612,264751,UT,B,51.0247,-130.3351,,,,03:45:35 29-Jun-2024,0,03:45:35 29-Jun-2024,354,0,512,3454,6,70,,,,,
J612,264751,UT,B,51.0247,-130.3351,,,,03:45:35 29-Jun-2024,1,03:51:29 29-Jun-2024,108,512,576,2476,9,,,,,,
J612,264751,UT,B,51.0247,-130.3351,,,,03:45:35 29-Jun-2024,2,03:53:17 29-Jun-2024,177,576,498,3362,14,,,,,,
J612,264751,UT,B,51.0247,-130.3351,,,,03:45:35 29-Jun-2024,3,03:56:14 29-Jun-2024,161,498,320,2995,6,,,,,,
J612,264751,UT,B,51.0247,-130.3351,,,,03:45:35 29-Jun-2024,4,03:58:55 29-Jun-2024,185,320,0,3881,0,-49,,,,,
